DataLabel,TE1,TE2,TE3,TE4,Program Number,Batch Status
54,122.06318681318682,122.11813186813187,122.33736263736265,122.29175824175823,3,OK
55,121.94590163934426,122.10409836065574,122.25901639344262,122.23032786885246,10,OK
56,,,,,20,Emergency Failure
57,121.99668508287293,122.19475138121547,122.39337016574586,122.31712707182321,20,OK
58,121.91612903225807,122.08870967741936,122.28064516129034,122.23387096774194,12,OK
59,,,,,1,Maintenance
60,121.48548387096774,121.66451612903225,121.85322580645162,121.82096774193548,12,OK
61,121.46935483870968,121.65,121.82741935483871,121.78387096774193,12,OK
62,121.55655737704917,121.74344262295082,121.91229508196722,121.97950819672131,11,OK
63,121.56043956043956,121.67472527472528,121.87472527472528,121.83241758241758,5,OK
64,122.07472527472527,122.17802197802199,122.36923076923077,122.30329670329671,3,OK
65,122.02032967032967,122.14999999999999,122.3554945054945,122.2978021978022,3,OK
66,,,,,1,Maintenance
67,122.02692307692308,122.16428571428573,122.3587912087912,122.29835164835164,3,OK
68,122.0879061371841,122.12996389891697,122.36732851985559,122.29963898916968,13,FAILED
69,,,,,1,Maintenance
70,121.49516129032257,121.62903225806451,121.81935483870969,121.77580645161291,12,OK
71,122.07582417582417,122.13846153846154,122.34835164835165,122.2923076923077,3,OK
72,122.07252747252748,122.11428571428571,122.35164835164835,122.28681318681319,13,OK
73,122.07967032967034,122.16703296703298,122.36318681318683,122.29285714285714,3,OK
74,121.56758241758241,121.6478021978022,121.85769230769232,121.80164835164835,5,OK
75,121.99010989010989,122.17142857142858,122.33516483516483,122.28571428571429,13,OK
76,113.27486631016043,114.85775401069519,114.57219251336899,115.29732620320854,13,FAILED
77,121.98516483516484,122.1598901098901,122.33516483516483,122.28736263736263,13,OK
78,121.57282608695651,121.67445652173912,121.8445652173913,121.8,5,OK
79,,,,,1,Maintenance
80,121.56830601092896,121.68142076502733,121.86502732240437,121.81256830601093,5,OK
81,121.98791208791208,122.13296703296703,122.33186813186813,122.28406593406594,13,OK
82,122.06666666666668,122.17267759562841,122.34590163934426,122.29617486338798,3,OK
83,120.7,121.0,121.1,121.1,5,FAILED
84,121.57049180327867,121.67486338797814,121.8568306010929,121.82622950819673,5,OK
85,122.06868131868131,122.1543956043956,122.34615384615384,122.29065934065933,3,OK
86,121.56630434782609,121.67228260869565,121.8592391304348,121.82336956521739,5,OK
87,122.07142857142857,122.14010989010988,122.33736263736265,122.28571428571429,14,OK
88,121.57142857142857,121.67307692307692,121.85604395604395,121.81593406593407,5,OK
89,121.5934065934066,121.65879120879121,121.85659340659342,121.81153846153846,5,OK
90,121.60274725274725,121.67747252747252,121.8587912087912,121.81648351648352,5,OK
91,122.01366120218579,122.14371584699452,122.348087431694,122.28306010928961,13,OK
92,122.01043956043956,122.13021978021979,122.34175824175824,122.29285714285714,13,OK
93,121.55274725274724,121.63186813186813,121.82142857142857,121.78901098901098,5,OK
94,121.56703296703297,121.64890109890109,121.83736263736265,121.79615384615383,5,OK
95,121.56885245901638,121.62841530054645,121.82677595628415,121.79071038251367,5,OK
96,121.56304347826087,121.6375,121.82989130434783,121.79239130434782,5,OK
97,122.06868131868131,122.16703296703298,122.35219780219781,122.32692307692308,3,OK
98,122.03241758241757,122.1368131868132,122.34725274725275,122.30384615384615,15,OK
99,122.06483516483516,122.13901098901098,122.35164835164835,122.3120879120879,16,OK
100,122.08241758241758,122.17307692307692,122.35329670329669,122.30824175824175,17,OK
101,122.06153846153846,122.16208791208791,122.35824175824176,122.3087912087912,17,OK
102,,,,,1,Maintenance
103,121.48870967741935,121.62258064516128,121.79838709677419,121.76612903225806,12,OK
104,121.74285714285715,121.77142857142857,121.95714285714287,121.95714285714287,17,FAILED
105,,,,,1,Maintenance
106,121.31228070175439,121.48771929824562,121.68245614035087,121.67894736842105,12,FAILED
107,,,,,1,Maintenance
108,121.43225806451613,121.60806451612903,121.77903225806452,121.76774193548387,12,OK
109,122.01857923497269,122.09289617486338,122.28251366120219,122.28087431693987,17,OK
110,121.73333333333333,121.83333333333333,121.96666666666665,121.96666666666665,17,FAILED
111,,,,,1,Maintenance
112,121.4241935483871,121.61935483870967,121.78548387096774,121.77258064516128,12,OK
113,121.97912087912088,122.09120879120879,122.28791208791208,122.28791208791208,17,OK
114,,,,,1,Maintenance
115,121.43387096774194,121.59677419354838,121.77741935483871,121.76935483870967,12,OK
116,,,,,1,Maintenance
117,121.43225806451613,121.60645161290321,121.77741935483871,121.76935483870967,12,OK
118,121.9912087912088,122.09505494505494,122.28736263736263,122.28571428571429,17,OK
