DataLabel,TP,TE1,TE2,TE3,TE4,Program Number,Batch Status
253,2.1092857142857144,121.9857142857143,122.28186813186812,122.27362637362636,122.2412087912088,17,1
254,2.1095054945054947,121.98846153846156,122.28461538461538,122.27912087912088,122.24505494505492,17,1
255,2.1087096774193546,121.98548387096774,122.26612903225806,122.24032258064516,122.2258064516129,12,1
256,0.08,19.7,19.7,19.8,19.8,1,0
257,2.1088709677419355,122.03225806451611,122.28064516129032,122.23709677419356,122.23064516129033,12,1
258,2.109032258064516,121.97096774193548,122.2709677419355,122.2467741935484,122.23709677419356,12,1
259,2.1083870967741936,121.99193548387096,122.2741935483871,122.23870967741937,122.23225806451612,12,1
260,2.1087096774193546,122.01451612903226,122.27258064516128,122.23870967741937,122.22258064516129,12,1
261,2.1094535519125683,121.99453551912568,122.30273224043717,122.27431693989072,122.25245901639344,17,1
262,0.08,19.7,19.7,19.8,19.8,1,0
263,2.108548387096774,122.01935483870967,122.27258064516128,122.23548387096774,122.23064516129033,12,1
264,2.109508196721311,121.98907103825135,122.2863387978142,122.27377049180328,122.2377049180328,17,1
265,2.108548387096774,122.01612903225806,122.27903225806452,122.24193548387096,122.23548387096774,12,1
266,2.1092857142857144,122.0423076923077,122.28351648351648,122.27142857142856,122.2521978021978,14,1
267,2.10956043956044,121.9857142857143,122.28571428571428,122.27637362637364,122.24010989010988,14,1
268,2.108548387096774,122.02258064516128,122.25645161290322,122.24193548387096,122.2258064516129,12,1
